title,genres,keywords,overview,popularity
Avatar,Action|Adventure|Fantasy,avatar|future|marine|native,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission.",150.437577
The Matrix,Action|Science Fiction,hacker|revolution|simulated reality,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth.",120.523123
Interstellar,Adventure|Drama|Science Fiction,time travel|space travel|wormhole,"A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.",95.312456
The Martian,Adventure|Drama|Science Fiction,astronaut|mars|survival,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on ingenuity to survive.",98.121234
Guardians of the Galaxy,Action|Adventure|Science Fiction,space|superhero|team,"Guardians of the Galaxy must fight to keep a powerful orb out of the hands of a fanatical warrior.",107.347890
Gravity,Science Fiction|Thriller,astronaut|space|survival,"Two astronauts work together to survive after an accident leaves them stranded in orbit.",89.234567
Edge of Tomorrow,Action|Science Fiction|Adventure,time loop|warrior|alien,"An officer finds himself caught in a time loop that forces him to live the same day over and over again.",91.876543
Oblivion,Science Fiction|Action|Adventure,post-apocalyptic|alien|future,"A veteran assigned to extract Earth's remaining resources begins to question what he knows about his mission.",86.543210
Passengers,Drama|Romance|Science Fiction,space|love|isolation,"A spacecraft traveling to a distant colony planet has a malfunction in its sleep chambers.",93.210987
John Carter,Action|Adventure|Science Fiction,martial arts|jungle|hero,"A Civil War veteran is transported to Mars and becomes embroiled in a conflict among the planet's inhabitants.",77.654321
Star Trek,Action|Adventure|Science Fiction,spacecraft|captain|exploration,"The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him grounded.",102.456789
Avatar: The Way of Water,Action|Adventure|Fantasy,avatar|ocean|sea,"A marine on an alien planet must work with his family to protect their home from a familiar threat.",145.234567
Inception,Action|Science Fiction|Thriller,dream|subconscious|heist,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea.",125.564321
The Dark Knight,Action|Crime|Drama,vigilante|joker|urban,"A hero must accept one of the greatest psychological and physical tests of his ability to fight injustice.",142.987654
Mad Max: Fury Road,Action|Adventure|Science Fiction,post-apocalyptic|vehicle|desert,"In a post-apocalyptic wasteland, a drifter helps a rebel warrior save a group of women from a tyrant.",110.765432
Blade Runner 2049,Drama|Science Fiction|Thriller,artificial intelligence|replicant|future,"A young blade runner discovers a long-buried secret that leads him to track down former blade runner Rick Deckard.",97.321654
Moonlight,Drama|Romance|LGBTQ|coming-of-age,childhood|identity|love,"The life of a young black man as he struggles to find himself while growing up in a rough neighborhood of Miami.",64.112233
La La Land,Comedy|Drama|Music,musical|dreams|romance,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile aspirations and relationship.",101.556677
The Shawshank Redemption,Drama|Crime|Classic,prison|friendship|hope,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of decency.",135.443210
Pulp Fiction,Crime|Drama|Thriller,nonlinear|hitman|dialogue,"The lives of two mob hitmen, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",118.332211
Toy Story,Animation|Adventure|Comedy,toy|friendship|child,"When the owner of a beloved toy cowboy decides to replace him with a new spaceman figure, the old toy feels threatened.",130.778899
Finding Nemo,Animation|Adventure|Family,fish|ocean|father,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",106.998877
The Lion King,Animation|Adventure|Drama,kingdom|lion|family,"A young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.",140.889900
Jurassic Park,Adventure|Science Fiction|Thriller,dinosaur|island|science,"During a preview tour, a theme park suffers a major power breakdown that allows its cloned dinosaur exhibits to run amok.",134.123456
Titanic,Drama|Romance|History,shipwreck|love|tragedy,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",136.654987
The Avengers,Action|Adventure|Science Fiction,superhero|team|alien,"A group of superheroes band together to stop Thor's brother Loki from subjugating Earth.",129.456321
Black Panther,Action|Adventure|Science Fiction,kingdom|superhero|africa,"After the death of his father, T'Challa returns home to the African nation of Wakanda to take his rightful place as king.",128.432100
The Godfather,Crime|Drama|Classic,mafia|family|power,"The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.",141.221100
The Silence of the Lambs,Crime|Drama|Thriller,serial killer|psychology|investigation,"A young FBI cadet must receive the help of an incarcerated cannibal killer to catch another serial killer at large.",90.876432
Black Swan,Drama|Thriller|Psychological,ballet|obsession|performance,"Driven by the desire to maintain her status as the lead dancer, a ballerina begins to lose her grip on reality.",85.998877
The Social Network,Biography|Drama|History,startup|lawyer|technology,"The story of the founding of Facebook and the resulting lawsuits faced by Mark Zuckerberg and his friends.",99.675432
Madagascar,Animation|Adventure|Comedy,zoo|animal|escape,"Four animals from the Central Park Zoo find themselves shipwrecked on the island of Madagascar.",95.432100
The Hunger Games,Action|Adventure|Science Fiction,dystopia|competition|survival,"Katniss Everdeen voluntarily takes her younger sister's place in a televised death match in a dystopian future.",105.210987
Shutter Island,Drama|Mystery|Thriller,detective|island|insanity,"A U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",92.103456
